,node_id,name,id,node_type,is_hub
0,0,1%_fat_buttermilk,,ingredient,no_hub
1,1,1%_fat_cottage_cheese,,ingredient,no_hub
2,2,1%_low_fat_milk,,ingredient,no_hub
3,3,10%_cream,,ingredient,no_hub
4,4,100%_bran,,ingredient,no_hub
5,5,10_inch_flour_tortilla,,ingredient,no_hub
6,6,12_inch_flour_tortilla,,ingredient,no_hub
7,7,12_inch_pizza_crust,,ingredient,no_hub
8,8,15%_cream,,ingredient,no_hub
9,9,18%_table_cream,,ingredient,no_hub
10,10,2%_buttermilk,,ingredient,no_hub
11,11,2%_cheddar_cheese,,ingredient,no_hub
12,12,2%_evaporated_milk,,ingredient,no_hub
13,13,2%_fat_cottage_cheese,,ingredient,no_hub
14,14,2%_low_fat_milk,,ingredient,no_hub
15,15,2%_milk,,ingredient,no_hub
16,16,2%_mozzarella_cheese,,ingredient,no_hub
17,17,35%_cream,,ingredient,no_hub
18,18,6_inch_corn_tortilla,,ingredient,no_hub
19,19,6_inch_flour_tortilla,,ingredient,no_hub
20,20,7_up,,ingredient,no_hub
21,21,7_up_soda,,ingredient,no_hub
22,22,80%_lean_ground_beef,,ingredient,no_hub
23,23,85%_lean_ground_beef,,ingredient,no_hub
24,24,8_inch_flour_tortilla,,ingredient,no_hub
25,25,"9""_pastry_pie_shell",,ingredient,no_hub
26,26,"9""_unbaked_pie_shell",,ingredient,no_hub
27,27,90%_lean_ground_beef,,ingredient,no_hub
28,28,93%_lean_ground_beef,,ingredient,no_hub
29,29,95%_lean_ground_beef,,ingredient,no_hub
30,30,96%_lean_ground_beef,,ingredient,no_hub
31,31,98%_fat_free_cream_of_chicken_soup,,ingredient,no_hub
32,32,98%_fat_free_cream_of_mushroom_soup,,ingredient,no_hub
33,33,9_inch_baked_pie_crust,,ingredient,no_hub
34,34,9_inch_deep_dish_pie_crust,,ingredient,no_hub
35,35,9_inch_graham_cracker_crust,,ingredient,no_hub
36,36,9_inch_pie_shell,,ingredient,no_hub
37,37,a.1._original_sauce,,ingredient,no_hub
38,38,abalone,,ingredient,hub
39,39,absinthe,,ingredient,no_hub
40,40,absolut_citron_vodka,,ingredient,no_hub
41,41,absolut_mandarin_vodka,,ingredient,no_hub
42,42,absolut_vodka,,ingredient,no_hub
43,43,accent_seasoning,,ingredient,no_hub
44,44,achiote,,ingredient,no_hub
45,45,achiote_oil,,ingredient,no_hub
46,46,achiote_paste,,ingredient,no_hub
47,47,achiote_powder,,ingredient,no_hub
48,48,achiote_seed,,ingredient,no_hub
49,49,acini_di_pepe_pasta,,ingredient,no_hub
50,50,acorn,,ingredient,hub
51,51,acorn_squash,,ingredient,no_hub
52,52,active_dry_yeast,,ingredient,no_hub
53,53,active_starter,,ingredient,no_hub
54,54,adobo_sauce,,ingredient,no_hub
55,55,adobo_seasoning,,ingredient,no_hub
56,56,advocaat,,ingredient,no_hub
57,57,adzuki_bean,,ingredient,hub
58,58,agar,,ingredient,hub
59,59,agar_agar,,ingredient,no_hub
60,60,agar_agar_flake,,ingredient,no_hub
61,61,agave,,ingredient,hub
62,62,agave_nectar,,ingredient,no_hub
63,63,agave_syrup,,ingredient,no_hub
64,64,aged_cheddar_cheese,,ingredient,no_hub
65,65,aged_white_cheddar_cheese,,ingredient,no_hub
66,66,ahi,,ingredient,no_hub
67,67,ahi_tuna_steak,,ingredient,no_hub
