node_id,name,id,node_type,is_hub
181,date,,ingredient,hub
182,deer,,ingredient,hub
183,diced_tomato,,ingredient,no_hub
184,dijon_mustard,,ingredient,no_hub
185,dill,,ingredient,hub
186,dried_basil,,ingredient,no_hub
187,dried_cranberry,,ingredient,no_hub
188,dried_oregano,,ingredient,no_hub
189,dried_parsley,,ingredient,no_hub
190,dried_thyme,,ingredient,no_hub
191,dry_mustard,,ingredient,no_hub
192,dry_white_wine,,ingredient,no_hub
193,dulce_de_leche,,ingredient,hub
194,dumpling,,ingredient,hub
195,egg,,ingredient,hub
196,egg_white,,ingredient,no_hub
197,egg_yolk,,ingredient,no_hub
198,eggplant,,ingredient,hub
199,elderberry,,ingredient,hub
200,endive,,ingredient,hub
201,epazote,,ingredient,hub
202,evaporated_milk,,ingredient,hub
203,extra_virgin_olive_oil,,ingredient,no_hub
204,fennel,,ingredient,hub
205,feta_cheese,,ingredient,hub
206,fig,,ingredient,hub
207,filbert,,ingredient,hub
208,fish,,ingredient,hub
209,fish_sauce,,ingredient,no_hub
210,flat_leaf_parsley,,ingredient,no_hub
211,flour,,ingredient,hub
212,flour_tortilla,,ingredient,no_hub
213,fresh_basil,,ingredient,no_hub
214,fresh_basil_leaf,,ingredient,no_hub
215,fresh_chive,,ingredient,no_hub
216,fresh_cilantro,,ingredient,no_hub
217,fresh_dill,,ingredient,no_hub
218,fresh_ginger,,ingredient,no_hub
219,fresh_ground_black_pepper,,ingredient,no_hub
220,fresh_ground_pepper,,ingredient,no_hub
221,fresh_lemon_juice,,ingredient,no_hub
222,fresh_lime_juice,,ingredient,no_hub
223,fresh_mushroom,,ingredient,no_hub
224,fresh_parsley,,ingredient,no_hub
225,fresh_parsley_leaf,,ingredient,no_hub
226,fresh_rosemary,,ingredient,no_hub
227,fresh_thyme,,ingredient,no_hub
228,frozen_pea,,ingredient,no_hub
229,fruit_juice,,ingredient,hub
230,fruit_preserve,,ingredient,hub
231,fruit_salad,,ingredient,hub
232,fudge,,ingredient,hub
233,garlic,,ingredient,hub
234,garlic_clove,,ingredient,no_hub
235,garlic_powder,,ingredient,no_hub
236,garlic_salt,,ingredient,no_hub
237,gelatin,,ingredient,hub
238,ghee,,ingredient,hub
239,gin,,ingredient,hub
240,ginger,,ingredient,hub
241,ginkgo_nut,,ingredient,hub
242,goat_cheese,,ingredient,hub
243,gooseberry,,ingredient,hub
244,graham_cracker_crumb,,ingredient,no_hub
245,granny_smith_apple,,ingredient,no_hub
246,granulated_sugar,,ingredient,no_hub
247,grape,,ingredient,hub
248,grapefruit,,ingredient,hub
249,greek_yogurt,,ingredient,no_hub
250,green_bean,,ingredient,hub
251,green_bell_pepper,,ingredient,hub
252,green_chilies,,ingredient,no_hub
253,green_onion,,ingredient,no_hub
254,green_pepper,,ingredient,no_hub
255,green_tea,,ingredient,hub
256,green_zucchini,,ingredient,hub
257,ground_allspice,,ingredient,no_hub
258,ground_beef,,ingredient,no_hub
259,ground_black_pepper,,ingredient,no_hub
260,ground_cinnamon,,ingredient,no_hub
261,ground_clove,,ingredient,no_hub
262,ground_coriander,,ingredient,no_hub
263,ground_cumin,,ingredient,no_hub
264,ground_ginger,,ingredient,no_hub
265,ground_nutmeg,,ingredient,no_hub
266,grouper,,ingredient,hub
267,gruyere_cheese,,ingredient,hub
268,guava,,ingredient,hub
269,haddock,,ingredient,hub
270,half_and_half,,ingredient,no_hub
271,ham,,ingredient,hub
272,hamburger,,ingredient,hub
273,hazelnut,,ingredient,hub
274,heavy_cream,,ingredient,no_hub
275,heavy_whipping_cream,,ingredient,no_hub
276,honey,,ingredient,hub
277,hop,,ingredient,hub
278,horseradish,,ingredient,hub
279,hot_dog,,ingredient,hub
280,hot_pepper_sauce,,ingredient,no_hub
281,hot_sauce,,ingredient,no_hub
282,hot_water,,ingredient,no_hub
283,hummus,,ingredient,hub
284,ice,,ingredient,no_hub
285,ice_cream,,ingredient,hub
286,ice_cream_cone,,ingredient,hub
287,ice_cube,,ingredient,no_hub
288,icing,,ingredient,hub
289,icing_sugar,,ingredient,no_hub
290,irish_moss,,ingredient,hub
291,italian_seasoning,,ingredient,no_hub
292,jackfruit,,ingredient,hub
293,jalapeno,,ingredient,hub
294,jalapeno_pepper,,ingredient,no_hub
295,jerusalem_artichoke,,ingredient,hub
296,jicama,,ingredient,hub
297,kale,,ingredient,hub
298,kefir,,ingredient,hub
299,kelp,,ingredient,hub
300,ketchup,,ingredient,hub
301,kidney_bean,,ingredient,hub
302,kiwi,,ingredient,hub
303,kohlrabi,,ingredient,hub
304,kombu,,ingredient,hub
